Player,Receiver_Score,Receiver_Rank,Team
Josh Reynolds,6.950481515371959,511.0,DEN
Ben Sims,6.953654668493378,512.0,GB
Tank Bigsby,6.9541833703976135,513.0,JAX
Stone Smartt,6.956292028921366,514.0,LAC
Eric Gray,6.958602256286371,515.0,NYG
Scott Miller,6.970891708594082,516.0,PIT
Trey Benson,6.980186100803873,517.0,ARI
Jared Goff,6.989836607356389,518.0,DET
Myles Gaskin,6.991665721455739,519.0,MIN
Jonathon Brooks,7.001865140072687,520.0,CAR
Dalvin Cook,7.003833019612083,521.0,DAL
Jamari Thrash,7.0106594321475635,523.0,CLE
Anthony Richardson,7.012329127666924,524.0,IND
Isiah Pacheco,7.015582593288011,525.0,KC
Patrick Taylor,7.02597641072078,526.0,SF
Kendric Pryor,7.053987739152072,527.0,CIN
Jha'Quan Jackson,7.054753468362721,528.0,TEN
KhaDarel Hodge,7.062444132279799,529.0,ATL
Amari Cooper,7.062630397581707,530.0,BUF
Jalen Reagor,7.070732531940687,531.0,LAC
Velus Jones Jr.,7.073639314037975,532.0,CHI
Rashee Rice,7.075787913447682,533.0,KC
Ben Skowronek,7.118740247942926,534.0,PIT
Kimani Vidal,7.136526515245322,535.0,LAC
Jermaine Burton,7.1590104738248375,536.0,CIN
Tylan Wallace,7.165211732068093,537.0,BAL
Baker Mayfield,7.178995794333591,538.0,TB
Christian McCaffrey,7.179097377091899,539.0,SF
Rakim Jarrett,7.180038355458319,540.0,TB
Ashton Dulin,7.2558987672469115,541.0,IND
Kirk Cousins,7.262329127666924,542.0,ATL
Payne Durham,7.277489496278297,543.0,TB
Sione Vaki,7.297215391637181,544.0,DET
Kevin Austin,7.3628895763862285,545.0,NO
Davante Adams,7.381529380905522,546.0,LV
Marquez Valdes-Scantling,7.385171828339814,547.0,NO
David Bell,7.415082739900147,548.0,CLE
D'Wayne Eskridge,7.426089910447792,549.0,MIA
Cody White,7.445875688313302,550.0,SEA
Bryce Oliver,7.446990003219461,551.0,TEN
Shane Zylstra,7.583548712176222,552.0,DET
Jacob Cowing,7.646980914050299,553.0,SF
Austin Trammell,7.91358052035167,554.0,JAX
Mike Williams,8.025842832693106,555.0,PIT
Divine Deablo,8.241126039960488,556.0,LV
